address,business_certificate,business_id,business_name,city,latitude,longitude,owner_address,owner_city,owner_name,owner_state,owner_zip,phone_number,postal_code,tax_code
415 Geary St,370778,4333,American Conservatory Theater,San Francisco,37.7871,-122.41,415 Geary St,San Francisco,American Conservatory Theater Foundation,CA,94102,null,94102,H86
201 VAN NESS Ave,416429,4404,DAVIES SYMPHONY - LODGE LEVEL,SF,37.7773,-122.42,1150 SOUTH OLIVE ST #TG25,LOS ANGELES,RA CENTER LLC,CA,90015,14155868150,94102,H86
201 VAN NESS Ave,416429,4405,DAVIES SYMPHONY - ORCHESTRA LEVEL,SF,37.7773,-122.42,1150 SOUTH OLIVE ST #TG25,LOS ANGELES,RA CENTER LLC,CA,90015,14155868150,94102,H86
201 VAN NESS Ave,416429,4406,DAVIES SYMPHONY - 1ST & 2ND TIER,SF,37.7773,-122.42,1150 SOUTH OLIVE ST #TG25,LOS ANGELES,RA CENTER LLC,CA,90015,14155868150,94102,H86
301 VAN NESS Ave,416429,4407,"OPERA HOUSE - 4/F, BALCONY",SF,37.7783,-122.42,1150 SOUTH OLIVE ST #TG25,LOS ANGELES,RA CENTER LLC,CA,90015,14155251932,94102,H86
301 VAN NESS Ave,416429,4408,"OPERA HOUSE - 1/F, STREET LEVEL",SF,37.7783,-122.42,1150 SOUTH OLIVE ST #TG25,LOS ANGELES,RA CENTER LLC,CA,90015,14155251932,94102,H86
301 VAN NESS Ave,416429,4409,"OPERA HOUSE - 2/F, GRAND TIER",SF,37.7783,-122.42,1150 SOUTH OLIVE ST #TG25,LOS ANGELES,RA CENTER LLC,CA,90015,14155251932,94102,H86
301 VAN NESS Ave,416429,4410,"OPERA HOUSE - 2F, MEZZANINE",SF,37.7783,-122.42,1150 SOUTH OLIVE ST #TG25,LOS ANGELES,RA CENTER LLC,CA,90015,14155251932,94102,H86
301 VAN NESS Ave,416429,4411,"OPERA HOUSE - 3/F, DRESS CIRCLE",SF,37.7783,-122.42,1150 SOUTH OLIVE ST #TG25,LOS ANGELES,RA CENTER LLC,CA,90015,14155251932,94102,H86
693 Post St,342775,4574,King Liquor Store,San Francisco,37.7877,-122.413,693 Post St,San Francisco,Equbay Gilagabir,CA,94102,null,94102,H03
251 ELLIS ST,318063,4721,IMPERIAL SQUARE LIQUORS,SAN FRANCISCO,37.7852,-122.41,251  ELLIS St,S.F.,"PATEL, CHETAN",CA,94102,null,94102,H03
453 O'Farrell St,929389,4729,Paradise Coffee & Donut,San Francisco,37.7858,-122.412,453 O'Farrell St,San Francisco,Hamood Elmuflihi,CA,94102,null,94102,H28
399 HAIGHT St,163534,4893,S & W MARKET,SF,37.7723,-122.429,399 Haight St.,SF,Fatmeh Najjar,CA,94117,14155862346,94102,H07
691 MCALLISTER St,185769,4905,SUPER SAM FOOD,SF,37.7796,-122.423,691 MCALLISTER,SF,"YASER, SAMI & GEORGE",CA,94102,14155923449,94102,H28
398 Ellis St,914093,4983,Young Ellis Produce,San Francisco,37.785,-122.413,398 Ellis St,San Francisco,Jin H Yun & Gyeong Hwa Yun,CA,94102,null,94102,H28
1 UNITED NATIONS Plz,467114,5345,QUICK-N-EZEE,S.F.,null,null,23682 Clawiter Road,Hayward,JAGPREET ENTERPRISES,CA,94545,14150351188,94102,H34
1 UNITED NATIONS PLAZA,940359,5409,KIEM'S SEAFOOD,SF,null,null,P.O. BOX 347222,SAN FRANCISCO,KIEM VAN NGUYEN,CA,94134,null,94102,H34
1 UNITED NATIONS Plz,439562,5420,CATER THYME,SF,null,null,26 CRESTLINE Dr # 10,SF,"AKINS, JOHN",CA,94131,14155864200,94102,H34
Powell & Market St (S/E),143153,5430,Annie's Hot Dogs,San Francisco,37.7798,-122.419,17 Shemran Ct,Fairfax,"New York Frankfurter Co. of CA, Inc.  Cathy Schoop",CA,94930,null,94102,H78
Stockton & O'Farrell St (N/W),143153,5434,Annie's Hot Dogs,San Francisco,37.7798,-122.419,17 Shemran Ct,Fairfax,"New York Frankforter Co. of CA, Inc.  Cathy Schoop",CA,94930,null,94102,H78
Stockton & Market & Ellis St (NW),143153,5441,Annie's Hot Dogs,San Francisco,37.7798,-122.419,17 Shemran Ct,Fairfax,"New York Frankfurter Co. of CA, Inc.  Cathy Schoop",CA,94930,null,94102,H78
333 O'Farrell St,209731,6367,Travel Traders #701,San Francisco,37.7861,-122.41,333 O'Farrell St,San Francisco,Travel Traders Hotel Stores Inc,CA,94102,null,94102,H01
335 Powell St,209731,6369,Travel Traders #715,San Francisco,37.7877,-122.408,335 Powell St,San Francisco,Travel Traders Hotel Stores Inc,CA,94102,null,94102,H01
808 LARKIN St,357338,6548,ALMA'S CIGARETTES,S.F.,37.7854,-122.418,808 LARKIN St,S.F.,ALMA J. ABOURAYA & ALY A. ABOU,CA,94102,null,94102,H03
1390 MARKET St,911744,6636,STARBUCKS,SF,37.7771,-122.417,1390 MARKET ST,SF,STARBUCKS COFFEE CO,CA,94102,null,94102,H25
483 ELLIS St,146960,6881,RED SEA GROCERY,SAN FRANCISCO,37.7847,-122.414,483 ELLIS ST,SF,"MEFTAN, AHMED",CA,94102,null,94102,H03
689 Geary St,387858,6887,Star Market,San Francisco,37.7865,-122.415,689 Geary St,San Francisco,Eyad Corporation,CA,94102,null,94102,H03
300 Mason St,63368,6893,Fred's Liquor Store,San Francisco,37.7862,-122.41,300 Mason St,San Francisco,"Rashad Sghayer, Inc",CA,94102,null,94102,H03
405 O'Farrell St,447329,6895,O'Farrell Liquor,San Francisco,37.786,-122.411,1602 SWALLOW WY,HERCULES,GAUTAM & SONS LLC,CA,94547,null,94102,H03
55 CYRIL MAGNIN St,209731,7182,Travel Traders #706,SAN FRANCISCO,37.7846,-122.409,55 Cyril Magnin St,San Francisco,Travel Traders Hotel Store Inc,CA,94102,null,94102,H03
201D TURK St,205053,7276,RADMAN'S PRODUCE MARKET,SF,37.7829,-122.412,201 Turk St. #D,San Francisco,"RADMAN, FADHL M. & MOHAMED A.",CA,94102,null,94102,H07
128 EDDY ST,362306,7512,SUPERETTE MARKET,SF,37.7843,-122.41,128  EDDY ST,SF,ALSAIDI DERHEM THABET ABDULLAH,CA,94102,null,94102,H07
399 EDDY St,338258,7519,EMPIRE MARKET,SF,37.7837,-122.414,399 EDDY,SF,"AL HAJ,MOHAMED",CA,94102,null,94102,H07
500 GROVE St,184883,7652,GROVE ST. MARKET,SF,37.7776,-122.425,500 GROVE STREET,SAN FRANCISCO,SAID ABDELMANNAN,CA,94102,null,94102,H07
698 HAYES St,195607,7653,HAYES MARKET,SF,37.7763,-122.428,698 HAYES STREET,SAN FRANCISCO,NEDAL SHOMAN,CA,94102,null,94102,H07
300 TURK St,383507,7672,MARYLAND MARKET,SF,37.7828,-122.414,300 Turk St,San Francisco,Surinder Kumar,CA,94102,null,94102,H03
1072A MARKET St,363870,7692,QUICK STOP MARKET,SAN FRANCISCO,37.7815,-122.411,12805 Benson Way,Belmont,SALEM HASSIB KAILEH,CA,94002,14155863438,94102,H03
352 TURK St,144186,7695,CENTRAL TOWERS MARKET,SAN FRANCISCO,37.7827,-122.415,352 TURK STREET,SAN FRANCISCO,JOSEPH TONG & CHIU YAU CHEUNG,CA,94102,null,94102,H03
1 United Nations Plaza,466150,7809,HEART OF THE CITY FARMERS MKT,SAN FRANCISCO,37.7805,-122.414,"1182 Market Street, Suite 412",SAN FRANCISCO,HEART OF THE CITY FARMERS MKT,CA,94102,null,94102,H14
155 FELL ST,361720,9710,RICKSHAW STOP,San Francisco,37.7762,-122.42,"30 Child Street, #4",San Francisco,Squished Squirrel Farm LLC,CA,94133,14155862011,94102,H26
200 Larkin St 1st floor,164162,9873,CAFE ASIA,San Francisco,37.7796,-122.417,"200 Larkin St, 1st Floor",San Francisco,"Events Management, Inc",CA,94102,null,94102,H26
1182 MARKET ST,111663,10107,THE GREEN ROOM,SF,37.7791,-122.414,1182 MARKET ST #200,SF,"Shorenstein Hayes Nederlander Theatres, LLC",CA,94102,null,94102,H86
184 O'Farrell St,374810,10238,King of Thai Noodle House,San Francisco,37.7865,-122.408,184 OFARRELL ST,SAN FRANCISCO,KING OF THAI NOODLE HOUSE INC,CA,94102,null,94102,H26
470 Post St,404795,10433,Cafe La Taza,San Francisco,37.7881,-122.41,470 Post St,San Francisco,Nomayca Inc.,CA,94102,null,94102,H24
696 Sutter St,938813,10438,Piraat Pizza,San Francisco,37.7889,-122.412,696 Sutter St,San Francisco,"Roxanne Sotano, Inc",CA,94102,null,94102,H24
438 Geary St,375647,11860,Colibri Mexican Bistro,San Francisco,37.7871,-122.411,438 Geary St,San Francisco,Resmex Partners LLC,CA,94102,null,94102,H26
125 Ellis St,379045,13965,Baysubway 02,San Francisco,37.7854,-122.408,1457 Lake St,San Francisco,Bsysubway 02   Robert W Jones,CA,94118,null,94102,H24
315 LINDEN ST,445533,14075,BLUE BOTTLE COFFEE LLC,SF,37.7763,-122.423,300 WEBSTER STREET,OAKLAND,BLUE BOTTLE COFFEE LLC,CA,94607,null,94102,H78
246-250 LEAVENWORTH ST,335457,14577,KIM HOANG CAFE & FAST FOOD,SF,37.7832,-122.414,3429 ANZA ST,SF,TEN MUI VVONG,CA,94121,null,94102,H24
377 Hayes St,388061,17616,SUGAR LOUNGE,San Francisco,37.7769,-122.422,377 Hayes St,San Francisco,Mi Hui & David Bass,CA,94102,null,94102,H87
511 Hayes St,392215,17762,Patxi's Chicago Pizza,San Francisco,37.7766,-122.425,511 Hayes St,San Francisco,"Layers, LLC",CA,94102,null,94102,H25
601 Van Ness Ave Suite A,196325,17822,Peet's Coffee & Tea,San Francisco,37.7815,-122.421,1400 Park Ave,Emeryville,"Peet's Operating Company, Inc",CA,94608,null,94102,H25
544 Jones St,452705,17933,Nile Cafe,San Francisco,37.7863,-122.413,544 Jones St,San Francisco,Kinani Ahmed,CA,94102,null,94102,H24
688 Geary St,395095,18428,Rye,San Francisco,37.7866,-122.415,688 Geary St,San Francisco,Rye Bar Corp,CA,94102,null,94102,H86
25 Mason St,397481,19277,Farmer Brown,San Francisco,37.7837,-122.409,25 Mason St,San Francisco,Black Rabbit Hospitality,CA,94102,null,94102,H26
550 Taylor St,397646,21921,Cocobang,San Francisco,37.7877,-122.412,"360 Lake Merced, Apt. 8",Daly City,Daebak Enterprise Corporation,CA,94015,null,94102,H24
501 Jones St,396511,24022,Bourbon and Branch,San Francisco,37.7858,-122.413,501 Jones St,San Francisco,"Future Bars, Inc",CA,94102,null,94102,H86
